word,Vision,Motor,Socialness,Emotion,Emotion_abs+1,Time,Space
老人,4.433333333,3.666666667,3.333333333,-0.1,1.1,3.066666667,1.466666667
游戏,3.633333333,3.5,3.733333333,1.4,2.4,1.5,2.066666667
有,1.266666667,1.266666667,1.2,0.533333333,1.533333333,1.166666667,1.2
技巧,1.6,1.533333333,1.633333333,1.166666667,2.166666667,1.333333333,1.066666667
同款,2.1,1.666666667,4.033333333,0.066666667,1.066666667,1.066666667,1.233333333
困,2.233333333,4.066666667,1.133333333,-1.866666667,2.866666667,2.433333333,1.633333333
必需,1.3,1.166666667,1.4,0.266666667,1.266666667,1.133333333,1.1
装修,3.5,3.633333333,3.466666667,0.7,1.7,1.9,4.5
说服,1.933333333,2.533333333,6.066666667,1.1,2.1,1.766666667,1.366666667
建立,1.5,1.6,3.5,0.8,1.8,1.733333333,2.033333333
无聊,1.6,2.2,1.333333333,-2.166666667,3.166666667,1.8,1.2
积水,4.3,2.233333333,1.1,-1.333333333,2.333333333,1.366666667,2.833333333
临走,1.6,1.7,1.7,-0.5,1.5,2.933333333,2.466666667
兰花,6.1,3.033333333,1.233333333,1.466666667,2.466666667,1.166666667,1.7
班,2.566666667,1.566666667,4.8,0.133333333,1.133333333,1.333333333,3.166666667
许多,1.6,1.366666667,1.766666667,0.5,1.5,1.266666667,1.233333333
租,1.866666667,1.766666667,4.433333333,-0.233333333,1.233333333,2.433333333,1.933333333
四十,2.133333333,2.933333333,1.2,-0.033333333,1.033333333,3,1.166666667
优惠,1.966666667,1.766666667,2.833333333,2.533333333,3.533333333,1.666666667,1.266666667
支持,1.933333333,2.4,5.033333333,2.766666667,3.766666667,1.4,1.4
和,1.166666667,1.233333333,3.133333333,0.4,1.4,1.066666667,1.133333333
受到,1.2,1.333333333,3.2,-0.533333333,1.533333333,1.533333333,1.233333333
憔悴,3,2.8,1.2,-3.433333333,4.433333333,1.566666667,1.1
揉,2.666666667,4.8,1.566666667,0.166666667,1.166666667,1.1,2.033333333
流到,1.7,1.8,1.166666667,-0.266666667,1.266666667,1.8,3.7
劝,2.166666667,2.766666667,5.1,-0.466666667,1.466666667,1.666666667,1.333333333
炒,2.666666667,4.566666667,1.166666667,0.2,1.2,1.433333333,1.966666667
其实,1.266666667,1.033333333,1.033333333,0.033333333,1.033333333,1.1,1.033333333
年货,4.5,2.433333333,3.033333333,1.666666667,2.666666667,3.333333333,1.566666667
正在,1.166666667,1.133333333,1.233333333,0.2,1.2,3.733333333,1.166666667
郊外,3.266666667,1.933333333,1.733333333,0.266666667,1.266666667,1.333333333,6.333333333
暴晒,3.333333333,2.866666667,1.066666667,-2.7,3.7,2.1,1.733333333
全力,1.3,1.6,1.133333333,1.466666667,2.466666667,1.433333333,1.2
餐馆,5.2,3.033333333,4.9,0.566666667,1.566666667,1.333333333,6
他,1.733333333,1.5,2.966666667,0.1,1.1,1.066666667,1.166666667
网络,3.066666667,1.933333333,4.433333333,0.133333333,1.133333333,1.3,2.066666667
缝上,2.733333333,3.733333333,1.166666667,0.266666667,1.266666667,1.066666667,2
竞争,1.9,2.4,6.1,-0.9,1.9,1.6,1.433333333
不小心,1.333333333,1.6,1.666666667,-1.7,2.7,1.333333333,1.033333333
讲解,2.5,3.4,5.7,0.666666667,1.666666667,1.633333333,1.533333333
火锅,6.1,4.2,3.2,1.8,2.8,1.4,2.2
鸡蛋,6.4,4.2,1.133333333,0.4,1.4,1.133333333,1.566666667
学院,4.266666667,2.066666667,5.2,0.366666667,1.366666667,1.166666667,4.766666667
从,1.166666667,1.033333333,1.266666667,0,1,1.6,1.433333333
小孩,4.033333333,2.833333333,3.3,0.733333333,1.733333333,2.033333333,1.333333333
植物,4.733333333,3,1.066666667,0.566666667,1.566666667,1.4,1.733333333
穿着,2.133333333,2.4,1.433333333,0.133333333,1.133333333,1.2,1.466666667
过,1.233333333,1.5,1.333333333,0.5,1.5,1.733333333,2.8
地,2.466666667,2.133333333,1.1,-0.033333333,1.033333333,1.033333333,3.5
进步,1.333333333,1.7,2.366666667,3.866666667,4.866666667,2.133333333,1.733333333
赌钱,3.233333333,3.266666667,5.733333333,-4.166666667,5.166666667,1.133333333,1.533333333
最终,1.2,1.133333333,1.133333333,0.166666667,1.166666667,5.166666667,1.066666667
刘海,5.3,4.833333333,1.133333333,0,1,1.066666667,1.566666667
使,1.2,1.133333333,1.3,0.066666667,1.066666667,1.033333333,1.066666667
休息区,4.333333333,2.433333333,3.633333333,1.233333333,2.233333333,1.566666667,5.333333333
明星,4.1,2.966666667,4.866666667,0.966666667,1.966666667,1.166666667,1.333333333
快,1.366666667,2,1.1,0.866666667,1.866666667,5.366666667,1.3
爬山虎,6.266666667,3.433333333,1.066666667,0.066666667,1.066666667,1.233333333,2.633333333
成功,1.266666667,1.666666667,2.466666667,4.566666667,5.566666667,1.733333333,1.2
饮水机,6.233333333,4.066666667,1.466666667,0.166666667,1.166666667,1.066666667,2.4
服务,2,1.9,5.7,1,2,1.7,1.433333333
七,1.966666667,3.4,1.166666667,0.033333333,1.033333333,1.833333333,1.066666667
节食,2.6,2.733333333,1.233333333,-1.566666667,2.566666667,1.433333333,1.333333333
