date,epu
1961-01-31,0.012422360248447204
1961-02-28,0.010676156583629894
1961-03-31,0.015723270440251572
1961-04-30,0.027874564459930314
1961-05-31,0.046762589928057555
1961-06-30,0.018867924528301886
1961-07-31,0.02877697841726619
1961-08-31,0.06551724137931035
1961-09-30,0.03308823529411765
1961-10-31,0.043478260869565216
1961-11-30,0.030973451327433628
1961-12-31,0.016666666666666666
1962-01-31,0.040293040293040296
1962-02-28,0.05982905982905983
1962-03-31,0.04247104247104247
1962-04-30,0.03862660944206009
1962-05-31,0.05405405405405406
1962-06-30,0.036036036036036036
1962-07-31,0.05357142857142857
1962-08-31,0.03669724770642202
1962-09-30,0.03255813953488372
1962-10-31,0.0091324200913242
1962-11-30,0.03804347826086957
1962-12-31,0.035842293906810034
1963-01-31,0.04316546762589928
