股票代码,会计年度,行业代码,信息含量
000672,2020.0,C30,-0.3061916134088549
000676,2020.0,I64,-0.25082420625335355
000677,2020.0,C28,-0.3099115005050954
000678,2020.0,C34,-0.16904259802216934
000679,2020.0,F52,-0.20968413296851737
000680,2020.0,C35,-0.28996507821826434
000682,2020.0,I65,-0.22390186024133635
000683,2020.0,C26,-0.20100590146277575
000687,2020.0,C39,-0.129027718007263
000688,2020.0,B09,-0.18044065085560068
000691,2020.0,C26,-0.20447857733387065
000692,2020.0,D44,-0.1964749631733707
000697,2020.0,C37,-0.18552066639065867
000700,2020.0,C36,-0.23819005722037287
000701,2020.0,F51,-0.2264132986979589
000702,2020.0,C13,-0.17534995210935356
000703,2020.0,C28,-0.21907555346146895
000705,2020.0,F51,-0.21896508995845868
000707,2020.0,C26,-0.334129313053567
000708,2020.0,C31,-0.25680567174798036
000709,2020.0,C31,-0.23396785758246752
000710,2020.0,M74,-0.278927926498277
000711,2020.0,E48,-0.3688089978919763
000712,2020.0,J67,-0.1390108378119247
000715,2020.0,F52,-0.23128716087969742
000716,2020.0,C14,-0.22617909777338152
000717,2020.0,C31,-0.3190384225808154
000718,2020.0,K70,-0.30367335602033363
000719,2020.0,R85,-0.25683245657435716
000720,2020.0,K70,-0.22430491559000693
000722,2020.0,D44,-0.2143719554735567
000725,2020.0,C39,-0.3051611901424547
000726,2020.0,C17,-0.27238227230443884
000727,2020.0,C39,-0.1750103588652504
000728,2020.0,J67,-0.2057911039464448
000729,2020.0,C15,-0.3062403426069498
000731,2020.0,C26,-0.28469959384954086
000732,2020.0,K70,-0.18546446924423024
000733,2020.0,C39,-0.2214387312754893
000736,2020.0,K70,-0.32451449832410595
000737,2020.0,C26,-0.27815809075758474
000738,2020.0,C37,-0.23053355554696717
000739,2020.0,C27,-0.3350019070980659
000750,2020.0,J67,-0.2605578773446348
000751,2020.0,C32,-0.31653924097730357
000752,2020.0,C15,-0.21651702140787094
000753,2020.0,F52,-0.27700970380602497
000755,2020.0,G54,-0.28909391556529734
